,Date,Power,Timepoint,holidays,Hour,Days,Month,Temperature,humiduity,Wind_speed
259,20020,0.084,20,0,9.5,19,7,14.55,84.5,14.4
260,20021,0.085,21,0,10.0,19,7,15.2,78.0,14.4
261,20022,0.127,22,0,10.5,19,7,15.55,77.5,14.4
262,20023,0.083,23,0,11.0,19,7,15.9,77.0,18.0
263,20024,0.082,24,0,11.5,19,7,15.65,79.0,18.0
264,20025,0.082,25,0,12.0,19,7,15.4,81.0,21.6
265,20026,0.191,26,0,12.5,19,7,15.25,77.5,21.6
266,20027,0.18,27,0,13.0,19,7,15.1,74.0,14.4
267,20028,0.149,28,0,13.5,19,7,15.75,71.5,14.4
268,20029,0.124,29,0,14.0,19,7,16.4,69.0,32.4
269,20030,0.106,30,0,14.5,19,7,15.1,77.0,32.4
270,20031,0.094,31,0,15.0,19,7,13.8,85.0,28.8
271,20032,0.094,32,0,15.5,19,7,13.3,88.5,28.8
272,20033,0.136,33,0,16.0,19,7,12.8,92.0,28.8
273,20034,0.092,34,0,16.5,19,7,13.65,85.0,28.8
274,20035,0.093,35,0,17.0,19,7,14.5,78.0,14.4
275,20036,0.135,36,0,17.5,19,7,15.0,77.0,14.4
276,20037,0.092,37,0,18.0,19,7,15.5,76.0,25.2
277,20038,0.091,38,0,18.5,19,7,14.2,83.0,25.2
278,20039,0.093,39,0,19.0,19,7,12.9,90.0,21.6
279,20040,0.134,40,0,19.5,19,7,13.1,87.5,21.6
280,20041,0.148,41,0,20.0,19,7,13.3,85.0,10.8
281,20042,0.175,42,0,20.5,19,7,12.95,86.0,10.8
282,20043,0.219,43,0,21.0,19,7,12.6,87.0,14.4
283,20044,0.992,44,0,21.5,19,7,12.05,89.0,14.4
284,20045,0.235,45,0,22.0,19,7,11.5,91.0,18.0
285,20046,0.175,46,0,22.5,19,7,11.7,91.0,18.0
286,20047,0.176,47,0,23.0,19,7,11.9,91.0,21.6
287,20048,0.162,48,0,23.5,19,7,11.65,92.5,21.6
288,20101,0.165,1,0,0.0,20,7,11.4,94.0,18.0
289,20102,0.207,2,0,0.5,20,7,11.25,93.0,18.0
290,20103,0.174,3,0,1.0,20,7,11.1,92.0,21.6
291,20104,0.087,4,0,1.5,20,7,10.75,93.5,21.6
292,20105,0.124,5,0,2.0,20,7,10.4,95.0,18.0
293,20106,0.093,6,0,2.5,20,7,10.35,95.5,18.0
294,20107,0.087,7,0,3.0,20,7,10.3,96.0,21.6
295,20108,0.086,8,0,3.5,20,7,10.15,96.5,21.6
296,20109,0.128,9,0,4.0,20,7,10.0,97.0,21.6
297,20110,0.086,10,0,4.5,20,7,10.25,96.0,21.6
298,20111,0.086,11,0,5.0,20,7,10.5,95.0,18.0
299,20112,0.102,12,0,5.5,20,7,10.95,94.0,18.0
300,20113,0.112,13,0,6.0,20,7,11.4,93.0,21.6
301,20114,0.084,14,0,6.5,20,7,11.95,91.0,21.6
302,20115,0.082,15,0,7.0,20,7,12.5,89.0,28.8
303,20116,0.126,16,0,7.5,20,7,12.85,88.0,28.8
304,20117,0.085,17,0,8.0,20,7,13.2,87.0,28.8
305,20118,0.084,18,0,8.5,20,7,13.9,83.5,28.8
306,20119,0.084,19,0,9.0,20,7,14.6,80.0,21.6
307,20120,0.126,20,0,9.5,20,7,15.25,77.0,21.6
308,20121,0.082,21,0,10.0,20,7,15.9,74.0,25.2
309,20122,0.082,22,0,10.5,20,7,16.4,72.0,25.2
310,20123,0.105,23,0,11.0,20,7,16.9,70.0,25.2
311,20124,0.122,24,0,11.5,20,7,16.8,66.0,25.2
312,20125,0.081,25,0,12.0,20,7,16.7,62.0,21.6
313,20126,0.081,26,0,12.5,20,7,16.9,61.0,21.6
314,20127,0.116,27,0,13.0,20,7,17.1,60.0,21.6
315,20128,0.089,28,0,13.5,20,7,17.15,63.5,21.6
316,20129,0.081,29,0,14.0,20,7,17.2,67.0,14.4
317,20130,0.081,30,0,14.5,20,7,17.0,65.5,14.4
318,20131,0.124,31,0,15.0,20,7,16.8,64.0,21.6
319,20132,0.081,32,0,15.5,20,7,17.15,65.5,21.6
320,20133,0.081,33,0,16.0,20,7,17.5,67.0,21.6
321,20134,0.11,34,0,16.5,20,7,17.7,65.5,21.6
322,20135,0.094,35,0,17.0,20,7,17.9,64.0,18.0
323,20136,0.081,36,0,17.5,20,7,17.4,67.5,18.0
324,20137,0.082,37,0,18.0,20,7,16.9,71.0,21.6
325,20138,0.124,38,0,18.5,20,7,16.6,70.0,21.6
326,20139,0.082,39,0,19.0,20,7,16.3,69.0,18.0
327,20140,0.081,40,0,19.5,20,7,15.9,71.5,18.0
328,20141,0.124,41,0,20.0,20,7,15.5,74.0,14.4
329,20142,0.083,42,0,20.5,20,7,15.0,75.5,14.4
330,20143,0.083,43,0,21.0,20,7,14.5,77.0,14.4
331,20144,0.092,44,0,21.5,20,7,13.95,79.5,14.4
332,20145,0.703,45,0,22.0,20,7,13.4,82.0,7.2
333,20146,0.527,46,0,22.5,20,7,11.7,84.0,7.2
334,20147,0.594,47,0,23.0,20,7,10.0,86.0,7.2
335,20148,0.638,48,0,23.5,20,7,8.9,91.5,7.2
336,20201,0.554,1,0,0.0,21,7,7.8,97.0,7.2
337,20202,0.089,2,0,0.5,21,7,9.2,96.5,7.2
338,20203,0.129,3,0,1.0,21,7,10.6,96.0,7.2
339,20204,0.088,4,0,1.5,21,7,11.3,94.0,7.2
340,20205,0.123,5,0,2.0,21,7,12.0,92.0,10.8
341,20206,0.091,6,0,2.5,21,7,12.2,95.5,10.8
342,20207,0.087,7,0,3.0,21,7,12.4,99.0,10.8
343,20208,0.127,8,0,3.5,21,7,12.6,99.0,10.8
